time,zone,entry,exit,total_people
2026-03-09 21:13:33.938739,Zone1,1,1,2
2026-03-09 21:13:33.939739,Zone2,1,1,2
2026-03-09 21:13:33.939739,Zone3,1,1,2
2026-03-09 21:13:34.078209,Zone1,1,1,2
2026-03-09 21:13:34.078209,Zone2,1,1,2
2026-03-09 21:13:34.078209,Zone3,1,1,2
2026-03-09 21:13:34.223833,Zone1,1,1,2
2026-03-09 21:13:34.224833,Zone2,1,1,2
2026-03-09 21:13:34.224833,Zone3,1,1,2
2026-03-09 21:13:34.356264,Zone1,1,1,2
2026-03-09 21:13:34.357272,Zone2,1,1,2
2026-03-09 21:13:34.357272,Zone3,1,1,2
2026-03-09 21:13:34.484676,Zone1,1,1,2
2026-03-09 21:13:34.485820,Zone3,1,1,2
2026-03-09 21:13:34.632129,Zone1,1,1,2
2026-03-09 21:14:55.632919,Zone2,0,0,1
2026-03-09 21:14:55.777392,Zone2,0,0,1
2026-03-09 21:14:55.852385,Zone2,0,0,1
2026-03-09 21:14:55.925020,Zone2,0,0,1
2026-03-09 21:14:55.997141,Zone2,0,0,1
2026-03-09 21:14:56.066066,Zone2,0,0,1
2026-03-09 21:14:56.142051,Zone2,0,0,1
2026-03-09 21:14:56.215381,Zone2,0,0,1
2026-03-09 21:14:56.286165,Zone2,0,0,1
2026-03-09 21:14:56.389206,Zone2,0,0,1
2026-03-09 21:14:56.461188,Zone2,0,0,1
2026-03-09 21:14:56.527987,Zone2,0,0,1
2026-03-09 21:14:56.599478,Zone2,0,0,1
2026-03-09 21:14:56.670048,Zone2,0,0,1
2026-03-09 21:14:56.736946,Zone2,0,0,1
2026-03-09 21:14:56.808031,Zone2,0,0,1
2026-03-09 21:14:56.882542,Zone2,0,0,1
2026-03-09 21:14:56.954424,Zone2,0,0,1
2026-03-09 21:14:57.021868,Zone2,0,0,1
2026-03-09 21:14:57.090717,Zone2,0,0,1
2026-03-09 21:14:57.172650,Zone2,0,0,1
2026-03-09 21:14:57.246475,Zone2,0,0,1
2026-03-09 21:14:57.322200,Zone2,0,0,1
2026-03-09 21:14:57.393905,Zone2,0,0,1
2026-03-09 21:14:57.467320,Zone2,0,0,1
2026-03-09 21:14:57.538822,Zone2,0,0,1
2026-03-09 21:14:57.614285,Zone2,0,0,1
2026-03-09 21:14:57.693327,Zone2,0,0,1
2026-03-09 21:14:57.779201,Zone2,0,0,1
2026-03-09 21:14:57.863398,Zone2,0,0,1
2026-03-09 21:14:57.935874,Zone2,0,0,1
2026-03-09 21:14:58.007765,Zone2,0,0,1
2026-03-09 21:14:58.080357,Zone2,0,0,1
2026-03-09 21:14:58.156142,Zone2,0,0,1
2026-03-09 21:14:58.231807,Zone2,0,0,1
2026-03-09 21:14:58.304743,Zone2,0,0,1
2026-03-09 21:14:58.377802,Zone2,0,0,1
2026-03-09 21:14:58.458891,Zone2,0,0,1
2026-03-09 21:14:58.536062,Zone2,0,0,1
2026-03-09 21:14:58.608734,Zone2,0,0,1
2026-03-09 21:14:58.682084,Zone2,0,0,1
2026-03-09 21:14:58.759546,Zone2,0,0,1
2026-03-09 21:14:58.829150,Zone2,0,0,1
2026-03-09 21:14:58.903943,Zone2,0,0,1
2026-03-09 21:14:58.985997,Zone2,0,0,1
2026-03-09 21:14:59.064983,Zone2,0,0,1
2026-03-09 21:14:59.149675,Zone2,0,0,1
2026-03-09 21:14:59.220464,Zone2,0,0,1
2026-03-09 21:14:59.295373,Zone2,0,0,1
2026-03-09 21:14:59.370255,Zone2,0,0,1
2026-03-09 21:14:59.442225,Zone2,0,0,1
2026-03-09 21:14:59.515249,Zone2,0,0,1
2026-03-09 21:14:59.588945,Zone2,0,0,1
2026-03-09 21:14:59.658978,Zone2,0,0,1
2026-03-09 21:14:59.730150,Zone2,0,0,1
2026-03-09 21:14:59.804887,Zone2,0,0,1
2026-03-09 21:14:59.883307,Zone2,0,0,1
2026-03-09 21:14:59.967268,Zone2,0,0,1
2026-03-09 21:15:00.047770,Zone2,0,0,1
2026-03-09 21:15:00.147647,Zone2,0,0,1
2026-03-09 21:15:00.233734,Zone2,0,0,1
2026-03-09 21:15:00.316576,Zone2,0,0,1
2026-03-09 21:15:00.386824,Zone2,0,0,1
2026-03-09 21:15:00.458577,Zone2,0,0,1
2026-03-09 21:15:00.568149,Zone2,0,0,1
2026-03-09 21:15:00.648851,Zone2,0,0,1
2026-03-09 21:15:00.726081,Zone2,0,0,1
2026-03-09 21:15:00.808532,Zone2,0,0,1
2026-03-09 21:15:00.883988,Zone2,0,0,1
2026-03-09 21:15:00.957652,Zone2,0,0,1
2026-03-09 21:15:01.032703,Zone2,0,0,1
2026-03-09 21:15:01.113361,Zone2,0,0,1
2026-03-09 21:15:01.195334,Zone2,0,0,1
2026-03-09 21:15:01.273078,Zone2,0,0,1
2026-03-09 21:15:01.354736,Zone2,0,0,1
2026-03-09 21:15:01.429355,Zone2,0,0,1
2026-03-09 21:15:01.512269,Zone2,0,0,1
2026-03-09 21:15:01.593061,Zone2,0,0,1
2026-03-09 21:15:01.674482,Zone2,0,0,1
2026-03-09 21:15:01.761327,Zone2,0,0,1
2026-03-09 21:15:01.852465,Zone2,0,0,1
2026-03-09 21:15:01.941340,Zone2,0,0,1
2026-03-09 21:15:02.044893,Zone2,0,0,1
2026-03-09 21:15:02.136467,Zone2,0,0,1
2026-03-09 21:15:02.225692,Zone2,0,0,1
2026-03-09 21:15:02.303046,Zone2,0,0,1
2026-03-09 21:15:02.381115,Zone2,0,0,1
2026-03-09 21:15:02.462345,Zone2,0,0,1
2026-03-09 21:15:02.534680,Zone2,0,0,1
2026-03-09 21:15:02.612831,Zone2,0,0,1
2026-03-09 21:15:02.688105,Zone2,0,0,1
2026-03-09 21:15:02.761962,Zone2,0,0,1
2026-03-09 21:15:02.844313,Zone2,0,0,1
2026-03-09 21:15:02.925718,Zone2,0,0,1
2026-03-09 21:15:03.001417,Zone2,0,0,1
2026-03-09 21:15:03.074856,Zone2,0,0,1
2026-03-09 21:15:03.149106,Zone2,0,0,1
2026-03-09 21:15:03.223929,Zone2,0,0,1
2026-03-09 21:15:03.295443,Zone2,0,0,1
2026-03-09 21:15:03.371435,Zone2,0,0,1
2026-03-09 21:15:03.454099,Zone2,0,0,1
2026-03-09 21:15:03.535792,Zone2,0,0,1
2026-03-09 21:15:03.600634,Zone2,0,0,1
2026-03-09 21:15:03.671106,Zone2,0,0,1
2026-03-09 21:15:03.741213,Zone2,0,0,1
2026-03-09 21:15:03.823080,Zone2,0,0,1
2026-03-09 21:15:03.905430,Zone2,0,0,1
2026-03-09 21:15:03.982672,Zone2,0,0,1
2026-03-09 21:15:04.059906,Zone2,0,0,1
2026-03-09 21:15:04.138076,Zone2,0,0,1
2026-03-09 21:15:04.219797,Zone2,0,0,1
2026-03-09 21:15:04.295206,Zone2,0,0,1
2026-03-09 21:15:04.375157,Zone2,0,0,1
2026-03-09 21:15:04.458272,Zone2,0,0,1
2026-03-09 21:15:04.529109,Zone2,0,0,1
2026-03-09 21:15:04.604767,Zone2,0,0,1
2026-03-09 21:15:04.684854,Zone2,0,0,1
2026-03-09 21:15:04.750546,Zone2,0,0,1
2026-03-09 21:15:04.847598,Zone2,0,0,1
2026-03-09 21:15:05.109229,Zone2,0,0,1
2026-03-09 21:15:05.254098,Zone2,0,0,1
